max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,n_estimators,fit_quality,model_power,lift_opt_score,mae
3,0.1,2000,1.0,1.0,10,0.7707753842879971,0.20394162533592156,0.6875681226710993,403.71784251976413
3,0.1,1000,1.0,1.0,10,0.7707753842879971,0.20394162533592156,0.6875681226710993,403.71784251976413
3,0.1,500,1.0,1.0,10,0.7707753842879971,0.20394162533592156,0.6875681226710993,403.71784251976413
5,0.1,500,1.0,0.8,10,0.7637107359512628,0.23092253441119698,0.669073903980925,401.9410335610799
5,0.1,1000,1.0,0.8,10,0.7634011175425144,0.23092708766723755,0.6679263876993297,401.9432206896638
5,0.1,2000,1.0,0.8,10,0.763017730521389,0.23096779516905086,0.6665106117899166,401.9603120426696
5,0.1,1000,0.8,0.8,10,0.7624171250451101,0.2323764310863159,0.6646136591567269,401.5596020069049
5,0.1,500,0.8,0.8,10,0.7623000811919474,0.232391430174763,0.6641792776097909,401.55473366698874
5,0.1,2000,0.8,0.8,10,0.7622256306316619,0.23236995860631826,0.6638952213575612,401.5628608803321
4,0.1,2000,0.8,0.8,10,0.7629063037190078,0.2194810590873138,0.6632450096173825,402.63689141091777
4,0.1,500,0.8,0.8,10,0.7629063037190078,0.2194810590873138,0.6632450096173825,402.63689141091777
4,0.1,1000,0.8,0.8,10,0.7629063037190078,0.2194810590873138,0.6632450096173825,402.63689141091777
6,0.05,500,0.8,1.0,10,0.6684445133428167,0.1558720258886971,0.2553750276540367,402.626876814688
3,0.05,500,1.0,1.0,10,0.6687520607987907,0.12598302051140636,0.2525772673473593,405.3729822151266
3,0.05,1000,1.0,1.0,10,0.6687520607987907,0.12598302051140636,0.2525772673473593,405.3729822151266
3,0.05,2000,1.0,1.0,10,0.6687520607987907,0.12598302051140636,0.2525772673473593,405.3729822151266
6,0.05,1000,0.8,1.0,10,0.6661702013976467,0.15580407528203402,0.2470714834756059,402.6293942111682
6,0.05,1000,1.0,1.0,10,0.665558104059122,0.15517788484652825,0.2447889226282992,402.9081495492618
3,0.05,1000,1.0,0.8,10,0.66590471228874,0.12588523808523233,0.24232216983358978,405.3984422791928
3,0.05,2000,1.0,0.8,10,0.66590471228874,0.12588523808523233,0.24232216983358978,405.3984422791928
3,0.05,500,1.0,0.8,10,0.66590471228874,0.12588523808523233,0.24232216983358978,405.3984422791928
6,0.05,2000,0.8,1.0,10,0.6640010349254628,0.15582115126971305,0.23930801884542918,402.6465219225263
6,0.05,500,1.0,1.0,10,0.6628273475053634,0.15522581852052955,0.23509662169926845,402.89831006172574
6,0.05,2000,1.0,1.0,10,0.6622811935660692,0.15516234084145486,0.23317742196488778,402.9087911030466
3,0.05,500,0.8,0.8,10,0.6632120624430008,0.12464573039418318,0.23270448648955813,405.2468918474986
3,0.05,1000,0.8,0.8,10,0.6632120624430008,0.12464573039418318,0.23270448648955813,405.2468918474986
3,0.05,2000,0.8,0.8,10,0.6632120624430008,0.12464573039418318,0.23270448648955813,405.2468918474986
4,0.05,500,1.0,1.0,10,0.6622146211592874,0.13650444744924772,0.230717803223026,404.5523134113323
3,0.05,500,0.8,1.0,10,0.662388204696474,0.12646973756580854,0.2300831517763384,405.245991744387
3,0.05,1000,0.8,1.0,10,0.662388204696474,0.12646973756580854,0.2300831517763384,405.245991744387
3,0.05,2000,0.8,1.0,10,0.662388204696474,0.12646973756580854,0.2300831517763384,405.245991744387
