max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,n_estimators,fit_quality,model_power,lift_opt_score,mae
5,0.01,1000,0.8,1.0,20,0.7152529764258531,0.12080324181051545,0.4426462263624883,287.02073492967645
5,0.01,2000,0.8,1.0,20,0.7114177949335829,0.1208037815155345,0.42602698493563274,287.0208208161619
6,0.01,500,0.8,1.0,20,0.6707195781253861,0.1258856581253908,0.259779067287152,286.2463754353392
6,0.01,1000,0.8,1.0,20,0.6693549525334126,0.12588753028146363,0.2547633782379687,286.2471627477362
6,0.01,2000,0.8,1.0,20,0.6634449364757152,0.1258933777936127,0.23367128145167704,286.24991645363167
3,0.01,1000,1.0,0.8,20,0.648997896319818,0.10208725571649328,0.1842328383121084,288.7886201545554
3,0.01,500,1.0,0.8,20,0.648997896319818,0.10208725571649328,0.1842328383121084,288.7886201545554
3,0.01,2000,1.0,0.8,20,0.648997896319818,0.10208725571649328,0.1842328383121084,288.7886201545554
4,0.01,500,0.8,0.8,20,0.6477467195001358,0.10683245739202035,0.18103982710696043,288.2431130080856
4,0.01,2000,0.8,0.8,20,0.6477467195001358,0.10683245739202035,0.18103982710696043,288.2431130080856
4,0.01,1000,0.8,0.8,20,0.6477467195001358,0.10683245739202035,0.18103982710696043,288.2431130080856
3,0.01,500,0.8,0.8,20,0.6462433791596106,0.10214986386565682,0.17617602411708813,288.7644706794786
3,0.01,1000,0.8,0.8,20,0.6462433791596106,0.10214986386565682,0.17617602411708813,288.7644706794786
3,0.01,2000,0.8,0.8,20,0.6462433791596106,0.10214986386565682,0.17617602411708813,288.7644706794786
6,0.01,500,0.8,0.8,20,0.63641102723091,0.11578301804964046,0.1506588865313186,286.87463720742073
5,0.01,500,0.8,0.8,20,0.6350939744809285,0.1107094691442197,0.14686594124986074,287.65411899255525
6,0.01,2000,0.8,0.8,20,0.6330404396984788,0.1157818472333814,0.14217684039842424,286.87680042453076
6,0.01,1000,0.8,0.8,20,0.6324328442917919,0.11578443335548591,0.14068799107226884,286.87518198376216
5,0.01,2000,0.8,0.8,20,0.6303747009374876,0.11071187543530517,0.1353314937213307,287.65467559686334
5,0.01,1000,0.8,0.8,20,0.6259173577879029,0.11071078859551399,0.12510112542850776,287.6542970831477
5,0.01,2000,1.0,0.8,20,0.6154069008593837,0.11039727175328752,0.10341833134056405,287.74578421789323
5,0.01,1000,1.0,0.8,20,0.6153129563977209,0.11040002353176347,0.1032399306387236,287.74497779182974
5,0.01,500,1.0,0.8,20,0.6142383504542415,0.11039961763999283,0.10121560559723096,287.74485367540007
6,0.01,2000,1.0,0.8,20,0.6110745108802249,0.11544230391510463,0.09573966689998507,287.0443398068619
6,0.01,1000,1.0,0.8,20,0.6105452098364228,0.1154626765614134,0.09480123243394221,287.04302137937253
6,0.01,500,1.0,0.8,20,0.6099264971991095,0.11544994826521997,0.09371216699554856,287.0420079458734
4,0.01,2000,1.0,0.8,20,0.6026142107347816,0.10669089363705592,0.08120312591361517,288.2843924891301
4,0.01,1000,1.0,0.8,20,0.6026142107347816,0.10669089363705592,0.08120312591361517,288.2843924891301
4,0.01,500,1.0,0.8,20,0.6026142107347816,0.10669089363705592,0.08120312591361517,288.2843924891301
